message
"{""schema"":null,""payload"":""<188>Oct 21 2024 11:03:51 GPN-0200_BEN-ROA-TRA_AR12-01 LINE/4/USERLOGINFAIL:OID 1.3.6.1.4.1.2011.5.25.207.2.3 A user login fail. (UserIndex=0, UserName=Console, UserIP=Console0, UserChannel=CON0) ""}"
"{""schema"":null,""payload"":""<188>Oct 21 2024 11:03:51 GPN-0231_BOI-EDU_AR12-01 LINE/4/USERLOGINFAIL:OID 1.3.6.1.4.1.2011.5.25.207.2.3 A user login fail. (UserIndex=0, UserName=Console, UserIP=Console0, UserChannel=CON0) ""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:51 GPN-0231_BOI-EDU_AR12-01 %%01SHELL/5/CMDRECORD(l)[229373]:Record command information. (Task=Co0, Ip=**, User=**, Command=\""log on fail\"", Result=Success) ""}"
"{""schema"":null,""payload"":""<188>Oct 21 2024 11:03:52 GBN-0081_LEN-SOC-DEV_AR12-01 LINE/4/USERLOGOUT:OID 1.3.6.1.4.1.2011.5.25.207.2.4 A user logout. (UserIndex=129, UserName=soc_admin, UserIP=10.255.253.18, UserChannel=VTY0) ""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:52 GPN-0001_TLK-CR_M14-01 %%01NETCONF/5/hwNetconfServerSessionStart(t):CID=0x80970533-OID=1.3.6.1.4.1.2011.5.25.217.2.15;The NETCONF server created a session. (UserName=nms_admin, SessionId=11696, IpAddress=172.31.26.25, VpnName=_public_)""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:51 GPN-0200_BEN-ROA-TRA_AR12-01 %%01SHELL/5/CMDRECORD(l)[6229]:Record command information. (Task=Co0, Ip=**, User=**, Command=\""log on fail\"", Result=Success) ""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:52 GBN-0007_SED-CR_M14-02 %%01NETCONF/5/hwNetconfServerSessionStart(t):CID=0x8097059c-OID=1.3.6.1.4.1.2011.5.25.217.2.15;The NETCONF server created a session. (UserName=nms_admin, SessionId=41081, IpAddress=172.31.26.25, VpnName=_public_)""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:52 GBN-0081_LEN-SOC-DEV_AR12-01 %%01SHELL/5/CMDRECORD(l)[313]:Record command information. (Task=vt0, Ip=10.255.253.18, User=soc_admin, Command=\""log off (ssh user)\"", Result=Success) ""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:52 GBN-0081_LEN-SOC-DEV_AR12-01 %%01CM/5/USER_OFFLINERESULT(s)[314]:[USER_INFO_OFFLINE]DEVICEMAC:24-9e-ab-a6-35-2a;DEVICENAME:GBN-0081_LEN-SOC-DEV_AR12-01;USER:soc_admin;MAC:ff-ff-ff-ff-ff-ff;TIME:1729508632;ZONE:UTC+0200;DAYLIGHT:false;ERRCODE:19;RESULT:User request to offline;""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:52 GBN-0081_LEN-SOC-DEV_AR12-01 %%01CM/5/CM_USEROFFLINE(s)[315]:The user succeeded in going offline. (UserType=SSH, UserName=soc_admin, UserMac=, IP=10.255.253.18, VPNName=, AccessTime=2024/10/21 13:03:41, OfflineTime=2024/10/21 13:03:52, Reason=User request to offline)""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:52 GBN-0007_SED-CR_M14-02 %%01SSH/5/SSH_USER_LOGIN(s):CID=0x80930488;The SSH user succeeded in logging in. (ServiceType=snetconf, UserName=nms_admin, UserAddress=172.31.26.25, LocalAddress=172.31.0.106, VPNInstanceName=_public_)""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:52 GPN-0001_TLK-CR_M14-01 %%01SSH/5/SSH_USER_LOGIN(s):CID=0x80930446;The SSH user succeeded in logging in. (ServiceType=snetconf, UserName=nms_admin, UserAddress=172.31.26.25, LocalAddress=172.31.0.3, VPNInstanceName=_public_)""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:52 GPN-0004_CHB-CR_M14-02 %%01NETCONF/5/hwNetconfServerSessionStart(t):CID=0x80970533-OID=1.3.6.1.4.1.2011.5.25.217.2.15;The NETCONF server created a session. (UserName=nms_admin, SessionId=5630, IpAddress=172.31.26.25, VpnName=_public_)""}"
"{""schema"":null,""payload"":""<189>Oct 21 2024 11:03:52 GPN-0004_CHB-CR_M14-02 %%01SSH/5/SSH_USER_LOGIN(s):CID=0x80930446;The SSH user succeeded in logging in. (ServiceType=snetconf, UserName=nms_admin, UserAddress=172.31.26.25, LocalAddress=172.31.0.105, VPNInstanceName=_public_)""}"
