message
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:30 GPN-0064_LER-HOS_AR12-01 %%01SECE/4/SPECIFY_SIP_ATTACK(l)[7018]:The specified source IP address initiates an attack.(Slot=MPU, SourceAttackIP = 10.140.1.85, AttackPackets=192 packets per second)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:30 GPN-0213_BLA-LIK-ME_AR12-01 SSMPADP/4/AUTHENTICAL_FAIL:OID 1.3.6.1.6.3.1.1.5.5 SNMP authentication fails.""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197792]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(50731)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197793]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(41248)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197795]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(54203)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197797]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(60541)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197798]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(44797)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:30 GPN-0001_TLK-CR_M14-01 %%01SNMP/4/SNMP_IPLOCK(s):CID=0x80d50422;The source IP was locked because of the failure of login through SNMP.(SourceIP=172.31.252.204, VPN=_public_)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197799]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(52863)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197800]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(52863)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<190>Sep 25 2024 12:47:30 GBN-0007_SED-CR_M14-02 %%01VCMU/6/VCMU_PLUGINOUT(s):CID=0x0;Component plug in or plug out information. (Information=20240925-12:47:30.555149 [INFO][L:80002 M:0][0][Slot=4, FruId=0], Type=0[0:PLUG_IN 1:PLUG_OUT], power plug in, elabel (Item: --, Barcode: --).)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197801]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(60108)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:31 GPN-0064_LER-HOS_AR12-01 %%01SECE/4/PORT_ATTACK(l)[7019]:Port attack occurred.(Slot=MPU, SourceAttackInterface=GigabitEthernet0/0/1, OuterVlan/InnerVlan=0/0, AttackPackets=192 packets per second)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197803]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(33183)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197806]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(33183)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:31 GPN-0064_LER-HOS_AR12-01 SECE/4/STRACKPORT:OID=1.3.6.1.4.1.2011.5.25.165.2.2.1.2 Attack occurred.(Interface=GigabitEthernet0/0/1, CVLAN=0, PVLAN=0, EndTime=2024/09/25 14:47:31, TotalPackets=34224)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197809]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(13598)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197810]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(39115)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197812]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(64888)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197815]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(6192)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<190>Sep 25 2024 12:47:31 GBN-0007_SED-CR_M14-02 %%01VCMU/6/VCMU_PLUGINOUT(s):CID=0x0;Component plug in or plug out information. (Information=20240925-12:47:31.355212 [INFO][L:80002 M:0][0][Slot=5, FruId=0], Type=0[0:PLUG_IN 1:PLUG_OUT], power plug in, elabel (Item: --, Barcode: --).)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197820]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(43876)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197821]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(57250)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<188>2024-9-25 12:47:32 GPN-0041_CHA-MAX-HOS_AR12-01 %%01LLDP/4/BAD_PACKET(l)[28153]:2 invalid packets were received after latest notification. The last invalid packet came from interface GigabitEthernet0/0/1.""}"
