timestamp_of_message,year,month,day_of_month,hour,minute,second,millisecond,day_of_week,day_of_year,week_of_year,is_weekend,seconds_since_midnight,time_of_day_bucket,device_identifier,vendor,physical_site_id,geolocation_code,device_role,device_function,device_model_number,device_importance,version_number,module_name,severity,log_type,log_status,cid,oid,sequence_number,description,device_with_description,metadata,is_unhappy
Sep 25 2024 12:44:16,2024,9,25,12,44,16,0,2,269,39,0,45856,Afternoon,GPN-0054-PHO-HOS--AR12-01,GPN,0054,PHO,HOS,,AR12,01,01,DEFD,4,CPCAR_DROP_MPU,(l),,,,Some packets are dropped by cpcar on the MPU. ,GPN-0054-PHO-HOS--AR12-01 -> Some packets are dropped by cpcar on the MPU. ,"Packet-type=arp-request, Drop-Count=3030",
Sep 25 2024 12:44:16,2024,9,25,12,44,16,0,2,269,39,0,45856,Afternoon,GPN-0054-PHO-HOS--AR12-01,GPN,0054,PHO,HOS,,AR12,01,01,DEFD,4,CPCAR_DROP_MPU,(l),,,,Some packets are dropped by cpcar on the MPU. ,GPN-0054-PHO-HOS--AR12-01 -> Some packets are dropped by cpcar on the MPU. ,"Packet-type=unknown-packet, Drop-Count=122",
Sep 25 2024 12:44:16,2024,9,25,12,44,16,0,2,269,39,0,45856,Afternoon,GPN-0054-PHO-HOS--AR12-01,GPN,0054,PHO,HOS,,AR12,01,01,DEFD,4,CPCAR_DROP_MPU,(l),,,,Some packets are dropped by cpcar on the MPU. ,GPN-0054-PHO-HOS--AR12-01 -> Some packets are dropped by cpcar on the MPU. ,"Packet-type=unknown-multicast, Drop-Count=87",
Sep 25 2024 12:44:18,2024,9,25,12,44,18,0,2,269,39,0,45858,Afternoon,GPN-0480-SED-MUN-OFF-AR12-01,GPN,0480,SED,MUN,OFF,AR12,01,01,LLDP,4,BAD_PACKET,(l),,,,2 invalid packets were received after latest notification. The last invalid packet came from interface GigabitEthernet0/0/1.,GPN-0480-SED-MUN-OFF-AR12-01 -> 2 invalid packets were received after latest notification. The last invalid packet came from interface GigabitEthernet0/0/1.,,
Sep 25 2024 12:44:19,2024,9,25,12,44,19,0,2,269,39,0,45859,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:19,2024,9,25,12,44,19,0,2,269,39,0,45859,Afternoon,GBN-0002-GST-CR--M14-02,GBN,0002,GST,CR,,M14,02,01,SSH,5,SSH_USER_LOGIN_FAIL_SCHD,(l),0x80930446,,,Failed to login through SSH 2 time,GBN-0002-GST-CR--M14-02 -> Failed to login through SSH 2 time,s) in last 1 minute(s),
Sep 25 2024 12:44:20,2024,9,25,12,44,20,0,2,269,39,0,45860,Afternoon,GBN-0056-YUS-DAD-HOS-AR12-01,GBN,0056,YUS,DAD,HOS,AR12,01,01,MSTP,6,RECEIVE_MSTITC,(l),,,,"MSTP received BPDU with TC, MSTP process 0 instance 0, port name is Ethernet0/0/0. ","GBN-0056-YUS-DAD-HOS-AR12-01 -> MSTP received BPDU with TC, MSTP process 0 instance 0, port name is Ethernet0/0/0. ",,
Sep 25 2024 12:44:21,2024,9,25,12,44,21,0,2,269,39,0,45861,Afternoon,GPN-0002-GST-DS--S97-01,GPN,0002,GST,DS,,S97,01,01,INFO,4,SUPPRESS_LOG,(l),,,,Last message repeated 1 times.,GPN-0002-GST-DS--S97-01 -> Last message repeated 1 times.,"InfoID=1082200067, ModuleName=SNMP, InfoAlias=SNMP_FAIL",
Sep 25 2024 12:44:21,2024,9,25,12,44,21,0,2,269,39,0,45861,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:21,2024,9,25,12,44,21,0,2,269,39,0,45861,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:21,2024,9,25,12,44,21,0,2,269,39,0,45861,Afternoon,GBN-0056-YUS-DAD-HOS-AR12-01,GBN,0056,YUS,DAD,HOS,AR12,01,01,MSTP,6,RECEIVE_MSTITC,(l),,,,"MSTP received BPDU with TC, MSTP process 0 instance 0, port name is Ethernet0/0/0. ","GBN-0056-YUS-DAD-HOS-AR12-01 -> MSTP received BPDU with TC, MSTP process 0 instance 0, port name is Ethernet0/0/0. ",,
